date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:51	117267/117267	---M--	200	added ('OK')	image/jpeg	etag:%221ca13-5b5fea41413aa%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-figure-1.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-figure-1.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/project.html)
11:22:52	20094/20094	---M--	200	added ('OK')	image/jpeg	etag:%224e7e-5b5fea4135055%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-1.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-1.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home-alt.html)
11:22:52	111684/111684	---M--	200	added ('OK')	image/jpeg	etag:%221b444-5b5fea414234a%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-figure-2.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/project/project-figure-2.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/project.html)
11:22:54	40712/40712	---M--	200	added ('OK')	image/jpeg	etag:%229f08-5b5fea413543d%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-2.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-2.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home-alt.html)
11:22:54	40292/40292	---M--	200	added ('OK')	image/jpeg	etag:%229d64-5b5fea4135825%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-3.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-3.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home-alt.html)
11:22:55	12648/12648	---M--	200	added ('OK')	image/jpeg	etag:%223168-5b5fea4135825%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-4.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-4.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home-alt.html)
11:22:56	22485/22485	---M--	200	added ('OK')	image/jpeg	etag:%2257d5-5b5fea4135c0e%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-5.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-5.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home-alt.html)
11:22:57	29577/29577	---M--	200	added ('OK')	image/jpeg	etag:%227389-5b5fea4135c0e%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-6.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-thumb-6.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-home-alt.html)
11:22:58	1026/1026	---M--	200	added ('OK')	text/css	etag:%22402-5b5fea415966a%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/plugins/highlight/styles/monokai-sublime.css	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/plugins/highlight/styles/monokai-sublime.css	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-post.html)
11:23:02	215/215	---M--	200	added ('OK')	application/javascript	etag:%22d7-5b5fea414234a%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/js/blog.js	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/js/blog.js	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-post.html)
11:23:03	636618/636618	---M--	200	added ('OK')	image/jpeg	etag:%229b6ca-5b5fea4135055%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-banner.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/blog/blog-post-banner.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-post.html)
11:23:03	379502/379502	---M--	200	added ('OK')	image/jpeg	etag:%225ca6e-5b5fea4132d2d%22	https://themes.3rdwavemedia.com/devcard/bs4/assets/images/promo-banner.jpg	/home/bawantha/Downloads/devcard/themes.3rdwavemedia.com/devcard/bs4/assets/images/promo-banner.jpg	(from https://themes.3rdwavemedia.com/devcard/bs4/blog-post.html)
